epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.175,1.43189,1.19105,1.02564,0.92971,0.93997,0.97931,0.7202,0.95388,46.0109,0.89634,0.000554645,0.000554645,0.000554645
2,495.081,0.95459,0.59745,0.87848,0.96023,0.9712,0.97911,0.78893,0.73449,inf,0.84219,0.00108833,0.00108833,0.00108833
3,723.279,0.8414,0.51907,0.85412,0.97653,0.96918,0.99124,0.82558,0.67013,13.3335,0.83063,0.00160001,0.00160001,0.00160001
4,947.582,0.7678,0.47389,0.84001,0.97891,0.97355,0.99094,0.85281,0.59577,0.56895,0.81558,0.00156798,0.00156798,0.00156798
5,1174.58,0.71772,0.44502,0.83131,0.98857,0.98725,0.99393,0.85829,0.57076,2.0342,0.81031,0.00153497,0.00153497,0.00153497
6,1397.36,0.67913,0.42099,0.82525,0.98881,0.98106,0.99381,0.88757,0.49524,0.39985,0.79947,0.00150197,0.00150197,0.00150197
7,1631.3,0.65201,0.40544,0.82089,0.97575,0.973,0.99381,0.89073,0.48227,8.99196,0.79736,0.00146896,0.00146896,0.00146896
8,1878.87,0.62134,0.38615,0.81675,0.98433,0.98329,0.99375,0.89855,0.46818,1.13576,0.79624,0.00143595,0.00143595,0.00143595
9,2107.22,0.59963,0.37924,0.81414,0.99,0.98854,0.99372,0.90006,0.45828,0.33509,0.7937,0.00140295,0.00140295,0.00140295
10,2362.98,0.58465,0.36417,0.81177,0.99318,0.99036,0.99419,0.91244,0.43209,0.67376,0.791,0.00136994,0.00136994,0.00136994
11,2586.27,0.5704,0.35714,0.81019,0.99454,0.99157,0.99437,0.9167,0.42784,0.31294,0.78945,0.00133693,0.00133693,0.00133693
12,2802.49,0.55747,0.346,0.80835,0.99615,0.99637,0.9943,0.92508,0.40314,0.28265,0.78737,0.00130393,0.00130393,0.00130393
13,3024.87,0.54984,0.33861,0.80685,0.99546,0.99407,0.99443,0.92813,0.38937,0.3296,0.78535,0.00127092,0.00127092,0.00127092
14,3247.59,0.53268,0.33396,0.80508,0.99023,0.98792,0.99404,0.92902,0.38584,0.68729,0.78513,0.00123791,0.00123791,0.00123791
15,3468.32,0.52244,0.33069,0.80361,0.99478,0.99227,0.99431,0.92949,0.38682,0.25792,0.78439,0.00120491,0.00120491,0.00120491
16,3690.98,0.5171,0.32455,0.80289,0.99726,0.99623,0.99428,0.93906,0.36665,0.68721,0.78284,0.0011719,0.0011719,0.0011719
17,3916.53,0.50317,0.31285,0.80114,0.9978,0.99667,0.9944,0.94201,0.35575,0.55866,0.78192,0.00113889,0.00113889,0.00113889
18,4143.03,0.49729,0.31013,0.8005,0.99632,0.99617,0.99448,0.94564,0.34839,0.33442,0.78163,0.00110589,0.00110589,0.00110589
19,4365.42,0.48643,0.30366,0.79999,0.99813,0.99773,0.99451,0.94781,0.34093,0.23679,0.78008,0.00107288,0.00107288,0.00107288
20,4594.55,0.47894,0.29952,0.7982,0.99821,0.99781,0.99442,0.95021,0.33522,0.26041,0.77941,0.00103987,0.00103987,0.00103987
21,4815.86,0.47321,0.29936,0.79749,0.99803,0.99774,0.99449,0.95358,0.31999,0.25445,0.7779,0.00100687,0.00100687,0.00100687
22,5037.47,0.46314,0.29087,0.79686,0.99803,0.99788,0.99449,0.95571,0.31244,0.23963,0.77641,0.000973861,0.000973861,0.000973861
23,5255.48,0.45917,0.28745,0.79586,0.99805,0.99717,0.9945,0.95495,0.31634,0.22816,0.77735,0.000940855,0.000940855,0.000940855
24,5492.89,0.4524,0.28542,0.79509,0.99786,0.99778,0.99451,0.95948,0.30821,0.23061,0.77657,0.000907848,0.000907848,0.000907848
25,5954.75,0.44492,0.27949,0.79425,0.99809,0.99792,0.99447,0.96086,0.30077,0.21701,0.77545,0.000874842,0.000874842,0.000874842
26,6176.26,0.43915,0.27987,0.79358,0.99809,0.99817,0.99445,0.96229,0.30023,0.2169,0.77556,0.000841835,0.000841835,0.000841835
27,6399.86,0.43483,0.27458,0.79337,0.99814,0.99822,0.99448,0.96327,0.29399,0.22059,0.7748,0.000808828,0.000808828,0.000808828
28,6619.96,0.42735,0.27052,0.79191,0.99839,0.99836,0.99455,0.96377,0.29961,0.2168,0.77548,0.000775822,0.000775822,0.000775822
29,6833.27,0.42234,0.26775,0.79124,0.99811,0.99829,0.99448,0.96622,0.28802,0.21442,0.77406,0.000742815,0.000742815,0.000742815
30,7049.26,0.41817,0.26473,0.79166,0.99831,0.99828,0.9945,0.96626,0.28676,0.21378,0.77447,0.000709809,0.000709809,0.000709809
31,7269.99,0.41284,0.26388,0.79006,0.99849,0.99836,0.99452,0.96714,0.27983,0.20505,0.77371,0.000676802,0.000676802,0.000676802
32,7491.42,0.40834,0.26038,0.79019,0.99845,0.99839,0.99455,0.96922,0.27272,0.20227,0.77294,0.000643795,0.000643795,0.000643795
33,7712.75,0.40634,0.25902,0.78964,0.9983,0.99838,0.99449,0.97083,0.27021,0.2051,0.77282,0.000610789,0.000610789,0.000610789
34,7936.76,0.39868,0.2567,0.78913,0.9984,0.9983,0.99454,0.97258,0.26255,0.20148,0.77221,0.000577782,0.000577782,0.000577782
35,8151.94,0.39584,0.25319,0.78858,0.99846,0.99825,0.99452,0.97208,0.2641,0.19748,0.7725,0.000544776,0.000544776,0.000544776
36,8372.39,0.39222,0.2522,0.78879,0.99844,0.99835,0.99452,0.97113,0.2652,0.1991,0.77226,0.000511769,0.000511769,0.000511769
37,8597.81,0.38528,0.24976,0.78748,0.99836,0.99844,0.99454,0.97277,0.26082,0.19663,0.77215,0.000478762,0.000478762,0.000478762
38,8835.8,0.38072,0.24651,0.78715,0.99853,0.99833,0.99455,0.97368,0.2562,0.19431,0.77132,0.000445756,0.000445756,0.000445756
39,9059.73,0.37705,0.24394,0.78738,0.99853,0.99843,0.99452,0.97599,0.24719,0.18916,0.77054,0.000412749,0.000412749,0.000412749
40,9280.81,0.37208,0.24314,0.78672,0.99847,0.99846,0.99453,0.97515,0.25171,0.19151,0.7709,0.000379743,0.000379743,0.000379743
41,9560.46,0.33458,0.2211,0.77762,0.99837,0.99855,0.99461,0.97568,0.25287,0.19198,0.77094,0.000346736,0.000346736,0.000346736
42,9761.49,0.31663,0.21263,0.77587,0.99844,0.99839,0.99456,0.9759,0.24827,0.19032,0.77052,0.000313729,0.000313729,0.000313729
